               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.033237,            0.012011,           0.0079059,             0.68941,             0.79217,             0.77177,             0.56087,            0.031294,           0.0068653,            0.024658,            0.005545,            0.005545,            0.005545
                 137,            0.026724,            0.010814,           0.0078851,              0.7554,             0.81922,             0.79666,             0.58608,            0.029308,           0.0068305,            0.025784,            0.005512,            0.005512,            0.005512
                 138,             0.02437,            0.010448,           0.0051999,             0.67406,             0.83642,             0.78838,              0.5745,            0.027978,            0.006491,            0.025663,            0.005479,            0.005479,            0.005479
                 139,            0.025464,            0.011446,           0.0076587,             0.67954,             0.84038,             0.76627,             0.56476,              0.0309,           0.0060451,            0.024988,            0.005446,            0.005446,            0.005446
                 140,            0.023536,           0.0090522,           0.0045017,             0.65069,             0.80897,             0.73401,             0.57465,            0.028288,           0.0057827,            0.022455,            0.005413,            0.005413,            0.005413
                 141,             0.02663,           0.0088547,           0.0084726,             0.74195,             0.77519,             0.77155,              0.5831,            0.028063,           0.0052241,            0.021426,             0.00538,             0.00538,             0.00538
                 142,            0.021959,           0.0094637,           0.0052745,             0.68452,              0.8322,             0.77186,             0.54228,            0.028625,            0.005063,            0.022108,            0.005347,            0.005347,            0.005347
                 143,            0.028118,            0.009936,           0.0055725,             0.69859,             0.76947,             0.75158,              0.5625,            0.027605,           0.0049033,            0.023066,            0.005314,            0.005314,            0.005314
                 144,            0.025909,            0.010897,           0.0060645,             0.69706,             0.71856,              0.7298,             0.55819,            0.026822,           0.0048651,            0.024117,            0.005281,            0.005281,            0.005281
                 145,            0.025434,             0.01012,           0.0058669,              0.6672,             0.68826,              0.7231,             0.53934,            0.027351,           0.0049611,            0.023699,            0.005248,            0.005248,            0.005248
                 146,            0.024216,            0.011442,             0.00494,             0.63454,             0.68795,             0.72989,             0.57415,            0.026896,           0.0050502,            0.022857,            0.005215,            0.005215,            0.005215
                 147,            0.027213,            0.010712,            0.006296,             0.65979,             0.65335,              0.7337,             0.55011,            0.029922,           0.0052205,            0.021806,            0.005182,            0.005182,            0.005182
                 148,            0.025268,            0.010021,           0.0061336,             0.53539,             0.81321,             0.72999,             0.57605,            0.026802,           0.0051953,            0.021006,            0.005149,            0.005149,            0.005149
